Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-14 00:00:00-05:00,232.1300048828125,234.24000549316406,231.27999877929688,231.39999389648438,831700,0.0,0.0
2024-11-15 00:00:00-05:00,228.89999389648438,229.3699951171875,227.52000427246094,228.30999755859375,824400,0.0,0.0
2024-11-18 00:00:00-05:00,229.6999969482422,231.57000732421875,229.25999450683594,231.3000030517578,611100,0.0,0.0
2024-11-19 00:00:00-05:00,229.99000549316406,233.69000244140625,229.72000122070312,233.1999969482422,614200,0.0,0.0
2024-11-20 00:00:00-05:00,234.11000061035156,235.02999877929688,231.2899932861328,235.02000427246094,603900,0.0,0.0
2024-11-21 00:00:00-05:00,234.5399932861328,236.64999389648438,233.25999450683594,236.02999877929688,947100,0.0,0.0
2024-11-22 00:00:00-05:00,235.74000549316406,236.75999450683594,234.25999450683594,236.25,750700,0.0,0.0
2024-11-25 00:00:00-05:00,237.1699981689453,237.22999572753906,233.25999450683594,233.80999755859375,616800,0.0,0.0
2024-11-26 00:00:00-05:00,234.41000366210938,235.13999938964844,233.3300018310547,235.05999755859375,804800,0.0,0.0
2024-11-27 00:00:00-05:00,232.4600067138672,233.22999572753906,231.5500030517578,232.02000427246094,961700,0.0,0.0
2024-11-29 00:00:00-05:00,234.3800048828125,237.92999267578125,234.05999755859375,237.60000610351562,420900,0.0,0.0
2024-12-02 00:00:00-05:00,239.72000122070312,242.24000549316406,238.22999572753906,241.58999633789062,799500,0.0,0.0
2024-12-03 00:00:00-05:00,242.30999755859375,245.02000427246094,242.0,243.89999389648438,788400,0.0,0.0
2024-12-04 00:00:00-05:00,249.58999633789062,254.72000122070312,248.6999969482422,253.61000061035156,895000,0.0,0.0
2024-12-05 00:00:00-05:00,255.2899932861328,256.1300048828125,253.82000732421875,255.5399932861328,825300,0.0,0.0
2024-12-06 00:00:00-05:00,254.61000061035156,256.1300048828125,253.72999572753906,254.13999938964844,843500,0.0,0.0
2024-12-09 00:00:00-05:00,254.1999969482422,254.8300018310547,251.86000061035156,252.5399932861328,728000,0.0,0.0
2024-12-10 00:00:00-05:00,253.5800018310547,254.36000061035156,251.3000030517578,251.3300018310547,532500,0.0,0.0
2024-12-11 00:00:00-05:00,246.41000366210938,250.97999572753906,246.27999877929688,249.52999877929688,1138400,0.0,0.0
2024-12-12 00:00:00-05:00,251.02999877929688,254.6999969482422,250.6199951171875,253.6300048828125,965200,0.0,0.0
2024-12-13 00:00:00-05:00,253.1699981689453,253.9499969482422,251.52999877929688,253.3000030517578,664700,0.0,0.0
